id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50397062,A cozy flat in Bristol,232461104,Marina,,Frome Vale,51.48772,-2.53998,Entire home/apt,68,2,11,2021/8/30,2.56,1,38,11,
50407943,Sunny 2 bedroom house close to St George Park,406388667,Anna,,St George West,51.45913,-2.54724,Entire home/apt,124,2,7,2021/8/31,1.86,1,244,7,
50408813,Cosy and colourful flat near Gloucester Road,407239328,Sarah,,Bishopston & Ashley Down,51.48585,-2.58253,Entire home/apt,78,1,9,2021/10/2,2.52,1,24,9,
50413176,City Place by StayBC,176181147,StayBC,,Ashley,51.4653,-2.58378,Entire home/apt,114,2,5,2021/9/20,2.05,15,317,5,
50414426,The Garden Gem Of Clifton- - Sleeps 5,152788806,Pass The Property,,Clifton Down,51.45819,-2.61287,Entire home/apt,197,2,3,2021/8/28,1.14,11,92,3,
50427240,"Unique getaway, stone barn in nature reserve",32124205,Natalie,,Brislington East,51.44193,-2.52926,Entire home/apt,700,3,3,2021/8/15,0.97,1,346,3,
50429797,1/41 Comfortable double room in a shared flat,275250241,Renan,,Clifton Down,51.45743,-2.61069,Private room,48,1,22,2021/10/10,5.24,9,355,22,
50433900,Mead Heights by StayBC ***Situated close to Bristol City Centre***,176181147,StayBC,,Lawrence Hill,51.45142,-2.57807,Entire home/apt,136,7,3,2021/9/5,0.97,15,357,3,
50442884,Stunning Georgian apartment in historic Clifton,12143319,Eirwen,,Clifton,51.45553,-2.61266,Entire home/apt,228,2,3,2021/10/21,3,1,150,3,
50458106,Roof Terrace Flat On Bright&Vibrant Gloucester Rd,193830262,Laura,,Redland,51.47603,-2.59187,Entire home/apt,96,2,12,2021/10/10,7.2,1,0,12,
50478135,Spacious House with Garden and Hot-tub,65192629,Hopewell,,Knowle,51.42969,-2.56109,Entire home/apt,286,2,12,2021/10/4,3,141,171,12,
50500991,Comfortable room in heart of Bristol,102136441,Lucy,,Hotwells & Harbourside,51.44993,-2.61366,Private room,36,2,0,,,1,324,0,
50517872,Spacious 2bed flat with parking in Redland.,407658048,Sebastian,,Cotham,51.46456,-2.60226,Entire home/apt,132,2,6,2021/10/15,1.94,1,123,6,
50555304,Light & airy victorian home next to cricket ground,18442574,Celine,,Bishopston & Ashley Down,51.47683,-2.58677,Private room,80,2,7,2021/8/14,1.96,1,0,7,
50556131,Your Apartment Kellway Avenue,125651447,Your Apartment,,Redland,51.47993,-2.60463,Entire home/apt,126,1,0,,,59,330,0,
50568032,Large room in a tranquil city oasis,19430164,Katy,,Windmill Hill,51.43933,-2.59125,Shared room,98,1,3,2021/10/17,0.74,1,0,3,
50581579,2 Bed Flat NR Eastville Park sleeps 5,90684209,Neil,,Eastville,51.47283,-2.55842,Entire home/apt,76,2,5,2021/9/25,1.4,14,332,5,
50583833,Light and airy top floor Victorian flat in Clifton,144813038,Joanna,,Clifton Down,51.46463,-2.61434,Entire home/apt,89,2,23,2021/10/24,6.9,1,337,23,
50608381,"Beautiful large, comfortable Bristol townhouse",6146085,Suzi,,Bishopston & Ashley Down,51.47842,-2.58324,Entire home/apt,175,2,2,2021/8/27,0.71,1,89,2,
50610677,Large 2bed Bristol house with south facing garden,141813718,Niall,,Bishopsworth,51.42882,-2.61143,Entire home/apt,106,2,2,2021/10/17,2,1,1,2,
50610919,Hotwells Modern Mews with Parking,65192629,Hopewell,,Clifton,51.45032,-2.61797,Entire home/apt,156,2,10,2021/10/2,2.94,141,43,10,
50654599,Lovely cozy and modern private room,77427516,Jo,,Horfield,51.49115,-2.58625,Private room,50,1,19,2021/10/24,5.76,1,0,19,
50665912,Cosy Double Bedroom in Clifton Georgian Crescent,49436089,Henrique,,Clifton,51.45369,-2.61827,Private room,45,1,12,2021/8/29,3.3,2,112,12,
50690473,"Contemporary 2 bed flat in Bristol, free parking",409628630,Jamie,,Southville,51.44225,-2.60316,Entire home/apt,101,1,11,2021/10/16,2.89,1,176,11,
50691383,Private room with en-suite bathroom and city views,402587604,Helena,,Windmill Hill,51.44159,-2.57197,Private room,43,2,6,2021/10/17,3.53,1,153,6,
50694465,Centrally located Light warm & welcoming apartment,327608603,Anya,,Southville,51.44401,-2.59329,Entire home/apt,84,1,11,2021/10/21,3.98,2,116,11,
50700043,Converted chapel flat,12860520,Yasmin,,St George Central,51.46142,-2.51166,Entire home/apt,113,2,3,2021/7/25,0.85,1,11,3,
50725331,Riverside 1-bedroom apartment,29557542,Jennifer,,Brislington West,51.444504,-2.564292,Entire home/apt,80,4,2,2021/8/27,1.5,1,112,2,
50730322,Three Queens by StayBC,176181147,StayBC,,Central,51.45104,-2.58804,Entire home/apt,140,2,10,2021/10/10,2.63,15,345,10,
